symbol_x,symbol_y
TFEB,MTOR
LAMTOR2,MTOR
RRAGD,MTOR
HSP90AB1,MTOR
RRAGC,MTOR
TTI1,MTOR
PRR5L,MTOR
RRAGA,MTOR
AKT1S1,MTOR
FKBP1A,MTOR
PRR5,MTOR
PSMD14,MTOR
UBAP2L,MTOR
GPHN,MTOR
LAMTOR3,MTOR
UBC,MTOR
FKBP5,MTOR
MLST8,MTOR
K7ERJ3_HUMAN,MTOR
FKBP8,MTOR
PSMC6,MTOR
FKBP4,PHLPP1
USP12,PHLPP1
SCRIB,PHLPP1
AKT2,PHLPP1
FKBP5,PHLPP1
AKT1,PHLPP1
PHLPP2,PHLPP1
TBC1D7,PHLPP1
FKBP4,PTGES3
PPP5C,PTGES3
SNRPD3,PTGES3
STUB1,PTGES3
CDC37,PTGES3
GAR1,PTGES3
NR3C1,PTGES3
AHR,PTGES3
SDF2,PTGES3
SDF2L1,PTGES3
NAT10,PTGES3
CCT7,PTGES3
TEP1,PTGES3
NHP2,PTGES3
CCT6A,PTGES3
AIP,PTGES3
CCT5,PTGES3
NVL,PTGES3
HSPB8,PTGES3
LSM11,PTGES3
CCT8,PTGES3
CCT3,PTGES3
TSC1,PTGES3
CCT2,PTGES3
PPID,PTGES3
TERT,PTGES3
TCP1,PTGES3
WRAP53,PTGES3
PGR,PTGES3
PSMG2,PTGES3
CCT6B,PTGES3
PSMG1,PTGES3
NOP10,PTGES3
HSP90AA1,PTGES3
PTGES,PTGES3
ESR2,PTGES3
PTGES2,PTGES3
NR3C2,PTGES3
STIP1,PTGES3
VCP,PTGES3
GNL3L,PTGES3
BAG3,PTGES3
DKC1,PTGES3
HSP90AB1,PTGES3
DNAJC9,PTGES3
AR,PTGES3
HDAC6,PTGES3
CCT4,PTGES3
SNRPE,PTGES3
ESR1,PTGES3
SNRPB,PTGES3
DNAJB11,PTGES3
HSF1,PTGES3
FKBP5,PTGES3
HNRNPC,PTGES3
HNRNPU,PTGES3
FKBP4,AHSA1
CDC37,AHSA1
HSPA4,AHSA1
HSP90AA1,AHSA1
HSP90AB1,AHSA1
SRPK1,AHSA1
FKBP4,HSPA4
PGLYRP1,HSPA4
PPP5C,HSPA4
ST13,HSPA4
GZMB,HSPA4
AHSA1,HSPA4
STUB1,HSPA4
SGTA,HSPA4
CDC37,HSPA4
TTC1,HSPA4
NR3C1,HSPA4
KLRK1,HSPA4
LRP1,HSPA4
HSPB1,HSPA4
TSG101,HSPA4
DNAJB1,HSPA4
HSPBP1,HSPA4
MDM2,HSPA4
TLR2,HSPA4
KCNH2,HSPA4
CD81,HSPA4
SLC9A1,HSPA4
GRPEL1,HSPA4
TP53,HSPA4
ERBB2,HSPA4
SOD1,HSPA4
TIMM44,HSPA4
EGFR,HSPA4
HSPB8,HSPA4
TOMM70,HSPA4
DEPTOR,HSPA4
FANCC,HSPA4
RICTOR,HSPA4
NPM1,HSPA4
HSPA9,HSPA4
HSP90B1,HSPA4
HSPB2,HSPA4
HSPB3,HSPA4
PPID,HSPA4
OLR1,HSPA4
HSPA6,HSPA4
CALR,HSPA4
HSPA5,HSPA4
PGR,HSPA4
P4HB,HSPA4
HSP90AA1,HSPA4
KLRD1,HSPA4
EEF1A1,HSPA4
PARK7,HSPA4
MAPT,HSPA4
SP100,HSPA4
HTT,HSPA4
MAGEA1,HSPA4
STIP1,HSPA4
DNAJC5,HSPA4
BECN1,HSPA4
PRKN,HSPA4
BAG3,HSPA4
BAG2,HSPA4
DNAJB4,HSPA4
HSP90AB1,HSPA4
CD40,HSPA4
HDAC1,HSPA4
HDAC8,HSPA4
SRC,HSPA4
SRPK1,HSPA4
TLR4,HSPA4
GDF5,HSPA4
AR,HSPA4
AGER,HSPA4
HSPA1B,HSPA4
HSPA1A,HSPA4
HSPA1L,HSPA4
DVL1,HSPA4
DNAJC2,HSPA4
DNAJA1,HSPA4
AIPL1,HSPA4
CD9,HSPA4
CUL5,HSPA4
DNAJC7,HSPA4
MAGED4B,HSPA4
HSF1,HSPA4
TRAF6,HSPA4
HSPA8,HSPA4
FKBP5,HSPA4
CD63,HSPA4
APAF1,HSPA4
AKT1,HSPA4
MAGED4,HSPA4
DNAJC3,HSPA4
IKBKG,HSPA4
HSPH1,HSPA4
BAG1,HSPA4
UBE3A,HSPA4
SNCA,HSPA4
FKBP4,NR3C1
CRY1,NR3C1
NFKB1,NR3C1
STAT3,NR3C1
PPARGC1A,NR3C1
DAXX,NR3C1
NCOR1,NR3C1
TP53,NR3C1
EGFR,NR3C1
NTRK2,NR3C1
STAT5B,NR3C1
MED1,NR3C1
HSPA4,NR3C1
CEBPB,NR3C1
FOS,NR3C1
MED14,NR3C1
SMAD3,NR3C1
HSP90AA1,NR3C1
NR3C2,NR3C1
STIP1,NR3C1
DAP3,NR3C1
JUN,NR3C1
HSP90AB1,NR3C1
NCOA3,NR3C1
AR,NR3C1
HSPA1B,NR3C1
HSPA1L,NR3C1
HDAC6,NR3C1
FOXO1,NR3C1
GRIP1,NR3C1
NCOR2,NR3C1
NCOA1,NR3C1
RAD54L2,NR3C1
CREB1,NR3C1
NCOA2,NR3C1
ESR1,NR3C1
FKBP5,NR3C1
CRY2,NR3C1
PTGES3,NR3C1
FKBP4,AR
CCND1,AR
NR3C1,AR
FOXA1,AR
MDM2,AR
CREBBP,AR
BRD4,AR
NCOR1,AR
USP12,AR
HSP90B1,AR
MED1,AR
HSPA4,AR
EZH2,AR
RCHY1,AR
KDM5D,AR
GSK3B,AR
FLNC,AR
SMAD3,AR
HSP90AA1,AR
CAV1,AR
SMAD4,AR
FLNA,AR
RUNX2,AR
HSP90AB1,AR
NCOA3,AR
HDAC1,AR
SRC,AR
NR0B1,AR
FOXO1,AR
TGFB1I1,AR
KDM1A,AR
NCOR2,AR
NCOA1,AR
BUD31,AR
RAD54L2,AR
NCOA2,AR
FOXA2,AR
ESR1,AR
FLNB,AR
USP26,AR
PIAS1,AR
PAK6,AR
NCOA4,AR
PTGES3,AR
CTNNB1,AR
FKBP4,STIP1
PPP5C,STIP1
CDC37,STIP1
NR3C1,STIP1
SDF2,STIP1
SDF2L1,STIP1
DNAJB1,STIP1
CCT7,STIP1
CCT6A,STIP1
CCT5,STIP1
HSPB8,STIP1
CCT8,STIP1
CCT3,STIP1
TSC1,STIP1
CCT2,STIP1
HSPA4,STIP1
RND1,STIP1
TCP1,STIP1
PSMG2,STIP1
CCT6B,STIP1
PSMG1,STIP1
HSP90AA1,STIP1
BAG3,STIP1
HSP90AB1,STIP1
DNAJC9,STIP1
HSPA1B,STIP1
HSPA1L,STIP1
CCT4,STIP1
HSPA2,STIP1
PRNP,STIP1
DNAJB11,STIP1
HSF1,STIP1
HSPA8,STIP1
FKBP5,STIP1
PTGES3,STIP1
FKBP4,DNAJB1
ST13,DNAJB1
STUB1,DNAJB1
CDC37,DNAJB1
GRPEL1,DNAJB1
TP53,DNAJB1
HSPA4,DNAJB1
DNAJA2,DNAJB1
NUDC,DNAJB1
HSP90AA1,DNAJB1
HTT,DNAJB1
STIP1,DNAJB1
HSP90AB1,DNAJB1
HSPA1B,DNAJB1
HSPA1A,DNAJB1
HSPA1L,DNAJB1
DNAJA1,DNAJB1
HSPA2,DNAJB1
DNAJA4,DNAJB1
HSF1,DNAJB1
HSPA8,DNAJB1
FKBP5,DNAJB1
MAPKAPK5,DNAJB1
HSPH1,DNAJB1
BAG1,DNAJB1
FKBP4,GLMN
APPBP2,GLMN
KLHL20,GLMN
RBX1,GLMN
TNFAIP1,GLMN
KCTD10,GLMN
CDKN1B,GLMN
SKP1,GLMN
CRBN,GLMN
TRPC4AP,GLMN
DCAF15,GLMN
DDB2,GLMN
ELOB,GLMN
CUL3,GLMN
PDCD6,GLMN
ERCC8,GLMN
FEM1A,GLMN
KLHL8,GLMN
FEM1C,GLMN
SPOPL,GLMN
KLHL41,GLMN
KLHL40,GLMN
ZER1,GLMN
ZYG11B,GLMN
DCAF13,GLMN
KLHDC2,GLMN
DDB1,GLMN
FEM1B,GLMN
COMMD1,GLMN
KLHL3,GLMN
FBXW5,GLMN
KLHDC3,GLMN
ASB4,GLMN
CUL1,GLMN
KLHL22,GLMN
KLHDC10,GLMN
KLHL25,GLMN
DCAF5,GLMN
KLHL7,GLMN
DCAF4,GLMN
KLHL9,GLMN
DDA1,GLMN
DCAF12,GLMN
DTL,GLMN
KLHL12,GLMN
COP1,GLMN
DCAF6,GLMN
DCAF8,GLMN
PEF1,GLMN
DCAF17,GLMN
CUL4A,GLMN
PRAMEF15,GLMN
PRAMEF6,GLMN
KLHL21,GLMN
DCAF10,GLMN
KBTBD7,GLMN
KBTBD6,GLMN
KLHL42,GLMN
DCAF16,GLMN
SPOP,GLMN
KEAP1,GLMN
ZSWIM8,GLMN
CUL4B,GLMN
KCTD17,GLMN
DCAF1,GLMN
KLHL24,GLMN
KBTBD8,GLMN
CUL2,GLMN
DCAF11,GLMN
KLHL13,GLMN
KLHL2,GLMN
AMBRA1,GLMN
CUL7,GLMN
PRAME,GLMN
KCTD13,GLMN
DET1,GLMN
ELOC,GLMN
DCAF7,GLMN
LZTR1,GLMN
GAN,GLMN
FBXW8,GLMN
ENC1,GLMN
FKBP4,AKT1
MAPK1,AKT1
CDC37,AKT1
WASL,AKT1
PI3,AKT1
HSPB1,AKT1
MDM2,AKT1
CYBA,AKT1
PHLPP1,AKT1
IQGAP1,AKT1
PAK1,AKT1
SH3RF1,AKT1
APPL1,AKT1
NCF1,AKT1
ARFIP1,AKT1
NOS3,AKT1
HSPB2,AKT1
HSPA4,AKT1
HSPB3,AKT1
ITPR1,AKT1
RPTOR,AKT1
HCLS1,AKT1
HSPA5,AKT1
TBK1,AKT1
SMAD3,AKT1
HSP90AA1,AKT1
TUBB,AKT1
FOXO3,AKT1
PTK2,AKT1
NOXA1,AKT1
PDPK1,AKT1
MAP2K3,AKT1
MAP3K5,AKT1
MT-CYB,AKT1
MAPKAPK2,AKT1
NCF2,AKT1
THEM4,AKT1
VAV3,AKT1
CHUK,AKT1
PKN2,AKT1
HSP90AB1,AKT1
NOX1,AKT1
SRC,AKT1
ITPR3,AKT1
CTTN,AKT1
WAS,AKT1
CYBB,AKT1
CCM2,AKT1
AKT2,AKT1
ILK,AKT1
NCF4,AKT1
NOXO1,AKT1
CDKN1A,AKT1
AMOTL1,AKT1
ARRB2,AKT1
ARRB1,AKT1
TRIB3,AKT1
SLCO6A1,AKT1
IKBKB,AKT1
